titulo,genero,duracion,tono,anio,calificacion
Toy Story,"Animation, Adventure, Comedy",corta,divertido,1995,8.3
Braveheart,"Biography, Drama, History",larga,serio,1995,8.3
Reservoir Dogs,"Crime, Drama, Thriller",media,serio,1992,8.3
Full Metal Jacket,"Drama, War",media,serio,1987,8.3
Idi i smotri,"Drama, Thriller, War",larga,serio,1985,8.3
Aliens,"Action, Adventure, Sci-Fi",larga,emocionante,1986,8.3
Amadeus,"Biography, Drama, History",larga,serio,1984,8.3
Scarface,"Crime, Drama",larga,serio,1983,8.3
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",larga,emocionante,1983,8.3
Das Boot,"Adventure, Drama, Thriller",larga,serio,1981,8.3
Taxi Driver,"Crime, Drama",media,serio,1976,8.3
The Sting,"Comedy, Crime, Drama",larga,divertido,1973,8.3
A Clockwork Orange,"Crime, Drama, Sci-Fi",larga,serio,1971,8.3
2001: A Space Odyssey,"Adventure, Sci-Fi",larga,neutral,1968,8.3
Per qualche dollaro in più,Western,larga,neutral,1965,8.3
Lawrence of Arabia,"Adventure, Biography, Drama",larga,serio,1962,8.3
The Apartment,"Comedy, Drama, Romance",larga,divertido,1960,8.3
North by Northwest,"Adventure, Mystery, Thriller",larga,neutral,1959,8.3
Vertigo,"Mystery, Romance, Thriller",larga,neutral,1958,8.3
Singin' in the Rain,"Comedy, Musical, Romance",media,divertido,1952,8.3
Ikiru,Drama,larga,serio,1952,8.3
Ladri di biciclette,Drama,corta,serio,1948,8.3
Double Indemnity,"Crime, Drama, Film-Noir",media,serio,1944,8.3
Citizen Kane,"Drama, Mystery",media,serio,1941,8.3
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller",media,neutral,1931,8.3
Metropolis,"Drama, Sci-Fi",larga,serio,1927,8.3
The Kid,"Comedy, Drama, Family",corta,divertido,1921,8.3
Chhichhore,"Comedy, Drama",larga,divertido,2019,8.2
Uri: The Surgical Strike,"Action, Drama, War",larga,serio,2018,8.2
K.G.F: Chapter 1,"Action, Drama",larga,serio,2018,8.2
Green Book,"Biography, Comedy, Drama",larga,divertido,2018,8.2
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",media,divertido,2017,8.2
Talvar,"Crime, Drama, Mystery",larga,serio,2015,8.2
Baahubali 2: The Conclusion,"Action, Drama",larga,serio,2017,8.2
Klaus,"Animation, Adventure, Comedy",media,divertido,2019,8.2
Drishyam,"Crime, Drama, Mystery",larga,serio,2015,8.2
Queen,"Adventure, Comedy, Drama",larga,divertido,2013,8.2
Mandariinid,"Drama, War",corta,serio,2013,8.2
Bhaag Milkha Bhaag,"Biography, Drama, Sport",larga,serio,2013,8.2
Gangs of Wasseypur,"Action, Comedy, Crime",larga,divertido,2012,8.2
Udaan,Drama,larga,serio,2010,8.2
Paan Singh Tomar,"Action, Biography, Crime",larga,emocionante,2012,8.2
El secreto de sus ojos,"Drama, Mystery, Romance",larga,serio,2009,8.2
Warrior,"Action, Drama, Sport",larga,serio,2011,8.2
Shutter Island,"Mystery, Thriller",larga,neutral,2010,8.2
Up,"Animation, Adventure, Comedy",media,divertido,2009,8.2
The Wolf of Wall Street,"Biography, Crime, Drama",larga,serio,2013,8.2
Chak De! India,"Drama, Family, Sport",larga,serio,2007,8.2
There Will Be Blood,Drama,larga,serio,2007,8.2
Pan's Labyrinth,"Drama, Fantasy, War",media,serio,2006,8.2
Toy Story 3,"Animation, Adventure, Comedy",media,divertido,2010,8.2
V for Vendetta,"Action, Drama, Sci-Fi",larga,serio,2005,8.2
Rang De Basanti,"Comedy, Crime, Drama",larga,divertido,2006,8.2
Black,Drama,larga,serio,2005,8.2
Batman Begins,"Action, Adventure",larga,emocionante,2005,8.2
"Swades: We, the People",Drama,larga,serio,2004,8.2
Der Untergang,"Biography, Drama, History",larga,serio,2004,8.2
Hauru no ugoku shiro,"Animation, Adventure, Family",media,neutral,2004,8.2
A Beautiful Mind,"Biography, Drama",larga,serio,2001,8.2
Hera Pheri,"Action, Comedy, Crime",larga,divertido,2000,8.2
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",media,divertido,1998,8.2
L.A. Confidential,"Crime, Drama, Mystery",larga,serio,1997,8.2
Eskiya,"Crime, Drama, Thriller",larga,serio,1996,8.2
Heat,"Crime, Drama, Thriller",larga,serio,1995,8.2
Casino,"Crime, Drama",larga,serio,1995,8.2
Andaz Apna Apna,"Action, Comedy, Romance",larga,divertido,1994,8.2
Unforgiven,"Drama, Western",larga,serio,1992,8.2
Indiana Jones and the Last Crusade,"Action, Adventure",larga,emocionante,1989,8.2
Dom za vesanje,"Comedy, Crime, Drama",larga,divertido,1988,8.2
Tonari no Totoro,"Animation, Family, Fantasy",corta,neutral,1988,8.2
Die Hard,"Action, Thriller",larga,emocionante,1988,8.2
Ran,"Action, Drama, War",larga,serio,1985,8.2
Raging Bull,"Biography, Drama, Sport",larga,serio,1980,8.2
Stalker,"Drama, Sci-Fi",larga,serio,1979,8.2
Höstsonaten,"Drama, Music",media,serio,1978,8.2
The Message,"Biography, Drama, History",larga,serio,1976,8.2
Sholay,"Action, Adventure, Comedy",larga,divertido,1975,8.2
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",media,divertido,1975,8.2
The Great Escape,"Adventure, Drama, History",larga,serio,1963,8.2
To Kill a Mockingbird,"Crime, Drama",larga,serio,1962,8.2
Yôjinbô,"Action, Drama, Thriller",media,serio,1961,8.2
Judgment at Nuremberg,"Drama, War",larga,serio,1961,8.2
Some Like It Hot,"Comedy, Music, Romance",larga,divertido,1959,8.2
Smultronstället,"Drama, Romance",media,serio,1957,8.2
Det sjunde inseglet,"Drama, Fantasy, History",media,serio,1957,8.2
Du rififi chez les hommes,"Crime, Drama, Thriller",media,serio,1955,8.2
Dial M for Murder,"Crime, Thriller",media,neutral,1954,8.2
Tôkyô monogatari,Drama,larga,serio,1953,8.2
Rashômon,"Crime, Drama, Mystery",corta,serio,1950,8.2
All About Eve,Drama,larga,serio,1950,8.2
The Treasure of the Sierra Madre,"Adventure, Drama, Western",larga,serio,1948,8.2
To Be or Not to Be,"Comedy, War",media,divertido,1942,8.2
The Gold Rush,"Adventure, Comedy, Drama",media,divertido,1925,8.2
Sherlock Jr.,"Action, Comedy, Romance",corta,divertido,1924,8.2
Portrait de la jeune fille en feu,"Drama, Romance",larga,serio,2019,8.1
Pink,"Drama, Thriller",larga,serio,2016,8.1
Koe no katachi,"Animation, Drama, Family",larga,serio,2016,8.1
Contratiempo,"Crime, Drama, Mystery",media,serio,2016,8.1
Ah-ga-ssi,"Drama, Romance, Thriller",larga,serio,2016,8.1
Mommy,Drama,larga,serio,2014,8.1
Haider,"Action, Crime, Drama",larga,serio,2014,8.1
Logan,"Action, Drama, Sci-Fi",larga,serio,2017,8.1
Room,"Drama, Thriller",media,serio,2015,8.1
Relatos salvajes,"Comedy, Drama, Thriller",larga,divertido,2014,8.1
Soul,"Animation, Adventure, Comedy",media,divertido,2020,8.1
Kis Uykusu,Drama,larga,serio,2014,8.1
PK,"Comedy, Drama, Musical",larga,divertido,2014,8.1
OMG: Oh My God!,"Comedy, Drama, Fantasy",larga,divertido,2012,8.1
The Grand Budapest Hotel,"Adventure, Comedy, Crime",media,divertido,2014,8.1
Gone Girl,"Drama, Mystery, Thriller",larga,serio,2014,8.1
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy",media,serio,2012,8.1
Hacksaw Ridge,"Biography, Drama, History",larga,serio,2016,8.1
Inside Out,"Animation, Adventure, Comedy",media,divertido,2015,8.1
Barfi!,"Comedy, Drama, Romance",larga,divertido,2012,8.1
12 Years a Slave,"Biography, Drama, History",larga,serio,2013,8.1
Rush,"Action, Biography, Drama",larga,serio,2013,8.1
Ford v Ferrari,"Action, Biography, Drama",larga,serio,2019,8.1
Spotlight,"Biography, Crime, Drama",larga,serio,2015,8.1
Song of the Sea,"Animation, Adventure, Drama",media,serio,2014,8.1
Kahaani,"Mystery, Thriller",larga,neutral,2012,8.1
Zindagi Na Milegi Dobara,"Comedy, Drama",larga,divertido,2011,8.1
Prisoners,"Crime, Drama, Mystery",larga,serio,2013,8.1
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",media,emocionante,2015,8.1
A Wednesday,"Action, Crime, Drama",media,serio,2008,8.1
Gran Torino,Drama,media,serio,2008,8.1
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy",larga,serio,2011,8.1
Okuribito,"Drama, Music",larga,serio,2008,8.1
Hachi: A Dog's Tale,"Biography, Drama, Family",media,serio,2009,8.1
Mary and Max,"Animation, Comedy, Drama",media,divertido,2009,8.1
How to Train Your Dragon,"Animation, Action, Adventure",media,emocionante,2010,8.1
Into the Wild,"Adventure, Biography, Drama",larga,serio,2007,8.1
No Country for Old Men,"Crime, Drama, Thriller",larga,serio,2007,8.1
Lage Raho Munna Bhai,"Comedy, Drama, Romance",larga,divertido,2006,8.1
Million Dollar Baby,"Drama, Sport",larga,serio,2004,8.1
Hotel Rwanda,"Biography, Drama, History",larga,serio,2004,8.1
Taegukgi hwinalrimyeo,"Action, Drama, War",larga,serio,2004,8.1
Before Sunset,"Drama, Romance",corta,serio,2004,8.1
Munna Bhai M.B.B.S.,"Comedy, Drama, Musical",larga,divertido,2003,8.1
Salinui chueok,"Crime, Drama, Mystery",larga,serio,2003,8.1
Dil Chahta Hai,"Comedy, Drama, Romance",larga,divertido,2001,8.1
Kill Bill: Vol. 1,"Action, Crime, Drama",media,serio,2003,8.1
Finding Nemo,"Animation, Adventure, Comedy",media,divertido,2003,8.1
Catch Me If You Can,"Biography, Crime, Drama",larga,serio,2002,8.1
Amores perros,"Drama, Thriller",larga,serio,2000,8.1
"Monsters, Inc.","Animation, Adventure, Comedy",media,divertido,2001,8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",corta,serio,1997,8.1
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",larga,serio,2001,8.1
The Sixth Sense,"Drama, Mystery, Thriller",media,serio,1999,8.1
La leggenda del pianista sull'oceano,"Drama, Music, Romance",larga,serio,1998,8.1
The Truman Show,"Comedy, Drama",media,divertido,1998,8.1
"Crna macka, beli macor","Comedy, Crime, Romance",larga,divertido,1998,8.1
The Big Lebowski,"Comedy, Crime, Sport",media,divertido,1998,8.1
Fa yeung nin wah,"Drama, Romance",media,serio,2000,8.1
Trainspotting,Drama,media,serio,1996,8.1
Fargo,"Crime, Drama, Thriller",media,serio,1996,8.1
Underground,"Comedy, Drama, War",larga,divertido,1995,8.1
La haine,"Crime, Drama",media,serio,1995,8.1
Dilwale Dulhania Le Jayenge,"Drama, Romance",larga,serio,1995,8.1
Before Sunrise,"Drama, Romance",media,serio,1995,8.1
Trois couleurs: Rouge,"Drama, Mystery, Romance",media,serio,1994,8.1
Chung Hing sam lam,"Comedy, Crime, Drama",media,divertido,1994,8.1
Jurassic Park,"Action, Adventure, Sci-Fi",larga,emocionante,1993,8.1
In the Name of the Father,"Biography, Crime, Drama",larga,serio,1993,8.1
Ba wang bie ji,"Drama, Music, Romance",larga,serio,1993,8.1
Dà hóng denglong gaogao guà,"Drama, History, Romance",larga,serio,1991,8.1
Dead Poets Society,"Comedy, Drama",larga,divertido,1989,8.1
Stand by Me,"Adventure, Drama",corta,serio,1986,8.1
Platoon,"Drama, War",media,serio,1986,8.1
"Paris, Texas",Drama,larga,serio,1984,8.1
Kaze no tani no Naushika,"Animation, Adventure, Fantasy",media,neutral,1984,8.1
The Thing,"Horror, Mystery, Sci-Fi",media,oscuro,1982,8.1
Pink Floyd: The Wall,"Drama, Fantasy, Music",media,serio,1982,8.1
Fitzcarraldo,"Adventure, Drama",larga,serio,1982,8.1
Fanny och Alexander,Drama,larga,serio,1982,8.1
Blade Runner,"Action, Sci-Fi, Thriller",media,emocionante,1982,8.1
The Elephant Man,"Biography, Drama",larga,serio,1980,8.1
Life of Brian,Comedy,media,divertido,1979,8.1
The Deer Hunter,"Drama, War",larga,serio,1978,8.1
Rocky,"Drama, Sport",media,serio,1976,8.1
Network,Drama,larga,serio,1976,8.1
Barry Lyndon,"Adventure, Drama, History",larga,serio,1975,8.1
Zerkalo,"Biography, Drama",media,serio,1975,8.1
Chinatown,"Drama, Mystery, Thriller",larga,serio,1974,8.1
Paper Moon,"Comedy, Crime, Drama",media,divertido,1973,8.1
Viskningar och rop,Drama,media,serio,1972,8.1
Solaris,"Drama, Mystery, Sci-Fi",larga,serio,1972,8.1
Le samouraï,"Crime, Drama, Mystery",media,serio,1967,8.1
Cool Hand Luke,"Crime, Drama",larga,serio,1967,8.1
Persona,"Drama, Thriller",corta,serio,1966,8.1
Andrei Rublev,"Biography, Drama, History",larga,serio,1966,8.1
La battaglia di Algeri,"Drama, War",larga,serio,1966,8.1
El ángel exterminador,"Drama, Fantasy",media,serio,1962,8.1
What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",larga,serio,1962,8.1
Sanjuro,"Action, Comedy, Crime",media,divertido,1962,8.1
The Man Who Shot Liberty Valance,"Drama, Western",larga,serio,1962,8.1
Ivanovo detstvo,"Drama, War",media,serio,1962,8.1
Jungfrukällan,Drama,corta,serio,1960,8.1
Inherit the Wind,"Biography, Drama, History",larga,serio,1960,8.1
Les quatre cents coups,"Crime, Drama",media,serio,1959,8.1
Ben-Hur,"Adventure, Drama, History",larga,serio,1959,8.1
Kakushi-toride no san-akunin,"Adventure, Drama",larga,serio,1958,8.1
Le notti di Cabiria,Drama,media,serio,1957,8.1
Kumonosu-jô,"Drama, History",media,serio,1957,8.1
The Bridge on the River Kwai,"Adventure, Drama, War",larga,serio,1957,8.1
On the Waterfront,"Crime, Drama, Thriller",media,serio,1954,8.1
Le salaire de la peur,"Adventure, Drama, Thriller",larga,serio,1953,8.1
Ace in the Hole,"Drama, Film-Noir",media,serio,1951,8.1
White Heat,"Action, Crime, Drama",media,serio,1949,8.1
The Third Man,"Film-Noir, Mystery, Thriller",media,neutral,1949,8.1
The Red Shoes,"Drama, Music, Romance",larga,serio,1948,8.1
The Shop Around the Corner,"Comedy, Drama, Romance",media,divertido,1940,8.1
Rebecca,"Drama, Mystery, Romance",larga,serio,1940,8.1
Mr. Smith Goes to Washington,"Comedy, Drama",larga,divertido,1939,8.1
Gone with the Wind,"Drama, History, Romance",larga,serio,1939,8.1
La Grande Illusion,"Drama, War",media,serio,1937,8.1
It Happened One Night,"Comedy, Romance",media,divertido,1934,8.1
La passion de Jeanne d'Arc,"Biography, Drama, History",media,serio,1928,8.1
The Circus,"Comedy, Romance",corta,divertido,1928,8.1
Sunrise: A Song of Two Humans,"Drama, Romance",media,serio,1927,8.1
The General,"Action, Adventure, Comedy",corta,divertido,1926,8.1
Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery",corta,oscuro,1920,8.1
Badhaai ho,"Comedy, Drama",larga,divertido,2018,8.0
Togo,"Adventure, Biography, Drama",media,serio,2019,8.0
Airlift,"Drama, History",larga,serio,2016,8.0
Bajrangi Bhaijaan,"Action, Adventure, Comedy",larga,divertido,2015,8.0
Baby,"Action, Crime, Thriller",larga,emocionante,2015,8.0
La La Land,"Comedy, Drama, Music",larga,divertido,2016,8.0
Lion,"Biography, Drama",media,serio,2016,8.0
The Martian,"Adventure, Drama, Sci-Fi",larga,serio,2015,8.0
Zootopia,"Animation, Adventure, Comedy",media,divertido,2016,8.0
Bãhubali: The Beginning,"Action, Drama",larga,serio,2015,8.0
Kaguyahime no monogatari,"Animation, Adventure, Drama",larga,serio,2013,8.0
Wonder,"Drama, Family",media,serio,2017,8.0
Gully Boy,"Drama, Music, Romance",larga,serio,2019,8.0
Special Chabbis,"Crime, Drama, Thriller",larga,serio,2013,8.0
Short Term 12,Drama,media,serio,2013,8.0
Serbuan maut 2: Berandal,"Action, Crime, Thriller",larga,emocionante,2014,8.0
The Imitation Game,"Biography, Drama, Thriller",media,serio,2014,8.0
Guardians of the Galaxy,"Action, Adventure, Comedy",larga,divertido,2014,8.0
Blade Runner 2049,"Action, Drama, Mystery",larga,serio,2017,8.0
Her,"Drama, Romance, Sci-Fi",larga,serio,2013,8.0
Bohemian Rhapsody,"Biography, Drama, Music",larga,serio,2018,8.0
The Revenant,"Action, Adventure, Drama",larga,serio,2015,8.0
The Perks of Being a Wallflower,"Drama, Romance",media,serio,2012,8.0
Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama",media,serio,2010,8.0
The King's Speech,"Biography, Drama, History",media,serio,2010,8.0
The Help,Drama,larga,serio,2011,8.0
Deadpool,"Action, Adventure, Comedy",media,divertido,2016,8.0
Darbareye Elly,"Drama, Mystery",media,serio,2009,8.0
Dev.D,"Drama, Romance",larga,serio,2009,8.0
Yip Man,"Action, Biography, Drama",media,serio,2008,8.0
My Name Is Khan,Drama,larga,serio,2010,8.0
Nefes: Vatan Sagolsun,"Action, Drama, Thriller",larga,serio,2009,8.0
Slumdog Millionaire,"Drama, Romance",media,serio,2008,8.0
Black Swan,"Drama, Thriller",media,serio,2010,8.0
Tropa de Elite,"Action, Crime, Drama",media,serio,2007,8.0
The Avengers,"Action, Adventure, Sci-Fi",larga,emocionante,2012,8.0
Persepolis,"Animation, Biography, Drama",media,serio,2007,8.0
Dallas Buyers Club,"Biography, Drama",media,serio,2013,8.0
The Pursuit of Happyness,"Biography, Drama",media,serio,2006,8.0
Blood Diamond,"Adventure, Drama, Thriller",larga,serio,2006,8.0
The Bourne Ultimatum,"Action, Mystery, Thriller",media,emocionante,2007,8.0
Bin-jip,"Crime, Drama, Romance",corta,serio,2004,8.0
Sin City,"Crime, Thriller",larga,neutral,2005,8.0
Le scaphandre et le papillon,"Biography, Drama",media,serio,2007,8.0
G.O.R.A.,"Adventure, Comedy, Sci-Fi",larga,divertido,2004,8.0
Ratatouille,"Animation, Adventure, Comedy",media,divertido,2007,8.0
Casino Royale,"Action, Adventure, Thriller",larga,emocionante,2006,8.0
Kill Bill: Vol. 2,"Action, Crime, Thriller",larga,emocionante,2004,8.0
Vozvrashchenie,Drama,media,serio,2003,8.0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",media,serio,2003,8.0
Mar adentro,"Biography, Drama",larga,serio,2014,8.0
Cinderella Man,"Biography, Drama, History",larga,serio,2005,8.0
Kal Ho Naa Ho,"Comedy, Drama, Musical",larga,divertido,2003,8.0
Mou gaan dou,"Action, Crime, Drama",media,serio,2002,8.0
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",larga,emocionante,2003,8.0
Big Fish,"Adventure, Drama, Fantasy",larga,serio,2003,8.0
The Incredibles,"Animation, Action, Adventure",media,emocionante,2004,8.0
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",larga,divertido,2001,8.0
Dogville,"Crime, Drama",larga,serio,2003,8.0
Vizontele,"Comedy, Drama",media,divertido,2001,8.0
Donnie Darko,"Drama, Mystery, Sci-Fi",media,serio,2001,8.0
Magnolia,Drama,larga,serio,1999,8.0
Dancer in the Dark,"Crime, Drama, Musical",larga,serio,2000,8.0
The Straight Story,"Biography, Drama",media,serio,1999,8.0
Pâfekuto burû,"Animation, Crime, Mystery",corta,neutral,1997,8.0
Festen,Drama,media,serio,1998,8.0
Central do Brasil,Drama,media,serio,1998,8.0
The Iron Giant,"Animation, Action, Adventure",corta,emocionante,1999,8.0
Knockin' on Heaven's Door,"Action, Crime, Comedy",corta,divertido,1997,8.0
Sling Blade,Drama,larga,serio,1996,8.0
Secrets & Lies,"Comedy, Drama",larga,divertido,1996,8.0
Twelve Monkeys,"Mystery, Sci-Fi, Thriller",larga,neutral,1995,8.0
Kôkaku Kidôtai,"Animation, Action, Crime",corta,emocionante,1995,8.0
The Nightmare Before Christmas,"Animation, Family, Fantasy",corta,neutral,1993,8.0
Groundhog Day,"Comedy, Fantasy, Romance",media,divertido,1993,8.0
Bound by Honor,"Crime, Drama",larga,serio,1993,8.0
Scent of a Woman,Drama,larga,serio,1992,8.0
Aladdin,"Animation, Adventure, Comedy",media,divertido,1992,8.0
JFK,"Drama, History, Thriller",larga,serio,1991,8.0
Beauty and the Beast,"Animation, Family, Fantasy",corta,neutral,1991,8.0
Dances with Wolves,"Adventure, Drama, Western",larga,serio,1990,8.0
Do the Right Thing,"Comedy, Drama",media,divertido,1989,8.0
Rain Man,Drama,larga,serio,1988,8.0
Akira,"Animation, Action, Sci-Fi",larga,emocionante,1988,8.0
The Princess Bride,"Adventure, Family, Fantasy",media,neutral,1987,8.0
Der Himmel über Berlin,"Drama, Fantasy, Romance",larga,serio,1987,8.0
Au revoir les enfants,"Drama, War",media,serio,1987,8.0
Tenkû no shiro Rapyuta,"Animation, Adventure, Drama",larga,serio,1986,8.0
The Terminator,"Action, Sci-Fi",media,emocionante,1984,8.0
Gandhi,"Biography, Drama, History",larga,serio,1982,8.0
Kagemusha,"Drama, History, War",larga,serio,1980,8.0
Being There,"Comedy, Drama",larga,divertido,1979,8.0
